place,artist,counts
584,Yazoo,884.0
585,Inside Out,879.0
586,X,871.0
587,X-Ray Spex,868.0
588,Zeromancer,863.0
589,Lorde,852.0
590,Wilson Pickett,848.0
591,X Japan,841.0
592,Inna,834.0
593,Stevie Ray Vaughan,827.0
594,Youth Of Today,823.0
595,Zakk Wylde,815.0
596,Freddie King,805.0
597,Fifth Harmony,802.0
598,Israel Houghton,783.0
599,Quicksand,775.0
600,Imago,754.0
601,Zebra,752.0
602,David Pomeranz,735.0
603,Vangelis,733.0
604,Sam Smith,723.0
605,Independence Day,721.0
606,Zayn Malik,710.0
607,Van Der Graaf Generator,708.0
608,Freddie Aguilar,707.0
609,U. D. O.,693.0
610,Israel,691.0
611,Quicksilver Messenger Service,674.0
612,Yusuf Islam,672.0
613,Joseph And The Amazing Technicolor Dreamcoat,649.0
614,Zwan,618.0
615,Yonder Mountain String Band,608.0
616,Qntal,606.0
617,Next To Normal,553.0
618,O-Zone,544.0
619,Yeng Constantino,542.0
620,Side A,529.0
621,Vengaboys,524.0
622,Xentrix,507.0
623,GMB,505.0
624,Walk The Moon,499.0
625,Iron Butterfly,477.0
626,Vera Lynn,477.0
627,Little Walter,433.0
628,Zornik,425.0
629,Exo,406.0
630,Xavier Naidoo,371.0
631,Koes Plus,343.0
632,Exo-K,326.0
633,Unknown,312.0
634,Soundtracks,262.0
635,Various Artists,226.0
636,Gipsy Kings,213.0
637,Zazie,195.0
638,Eppu Normaali,164.0
639,Ungu,94.0
640,Zed,84.0
641,U-Kiss,79.0
642,Zoe,64.0
643,X-Treme,38.0
